episode,return
0,52.0
1,52.0
2,52.0
3,52.0
4,52.0
5,52.0
6,52.0
7,52.0
8,52.0
9,52.0
10,52.0
11,52.0
12,52.0
13,52.0
14,52.0
15,52.0
16,52.0
17,52.0
18,52.0
19,52.0
20,52.0
21,52.0
22,52.0
23,52.0
24,52.0
25,52.0
26,52.0
27,52.0
28,52.0
29,52.0
30,52.0
31,52.0
32,52.0
33,52.0
34,52.0
35,52.0
36,52.0
37,52.0
38,52.0
39,52.0
40,52.0
41,52.0
42,52.0
43,52.0
44,52.0
45,52.0
46,52.0
47,52.0
48,52.0
49,52.0
50,52.0
51,52.0
52,52.0
53,52.0
54,52.0
55,52.0
56,52.0
57,52.0
58,52.0
59,52.0
60,52.0
61,52.0
62,52.0
63,52.0
64,52.0
65,52.0
66,52.0
67,52.0
68,52.0
69,52.0
70,52.0
71,52.0
72,52.0
73,52.0
74,52.0
75,52.0
76,52.0
77,52.0
78,52.0
79,52.0
80,52.0
81,52.0
82,52.0
83,52.0
84,52.0
85,52.0
86,52.0
87,52.0
88,52.0
89,52.0
90,52.0
91,52.0
92,52.0
93,52.0
94,52.0
95,52.0
96,52.0
97,52.0
98,52.0
99,52.0
