step,ego_action_idx,ego_action,p0_pos,p0_orient,p0_held,p1_pos,p1_orient,p1_held,objects_before,pots_before,cum_sparse_before,cum_shaped_before,partner_action_idx,partner_action,reward,sparse_reward,built_in_shaped_reward,custom_shaped_reward,cum_sparse_after,cum_shaped_after,delivery_event,p0_pos_after,p0_held_after,p1_pos_after,p1_held_after,objects_after,pots_after
0,1,"(0, 1)","(3, 3)","(0, -1)",,"(3, 1)","(0, -1)",,,"(3, 0):empty;(4, 0):empty",0.0,0.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(3, 3)",,"(4, 1)",,,"(3, 0):empty;(4, 0):empty"
1,5,interact,"(3, 3)","(0, 1)",,"(4, 1)","(1, 0)",,,"(3, 0):empty;(4, 0):empty",0.0,0.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(3, 3)",onion,"(5, 1)",,,"(3, 0):empty;(4, 0):empty"
2,3,"(-1, 0)","(3, 3)","(0, 1)",onion,"(5, 1)","(1, 0)",,,"(3, 0):empty;(4, 0):empty",0.0,0.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(2, 3)",onion,"(6, 1)",,,"(3, 0):empty;(4, 0):empty"
3,3,"(-1, 0)","(2, 3)","(-1, 0)",onion,"(6, 1)","(1, 0)",,,"(3, 0):empty;(4, 0):empty",0.0,0.0,5,interact,0.0,0.0,0.0,0.0,0.0,0.0,False,"(1, 3)",onion,"(6, 1)",,,"(3, 0):empty;(4, 0):empty"
4,0,"(0, -1)","(1, 3)","(-1, 0)",onion,"(6, 1)","(1, 0)",,,"(3, 0):empty;(4, 0):empty",0.0,0.0,1,"(0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(1, 2)",onion,"(6, 2)",,,"(3, 0):empty;(4, 0):empty"
5,0,"(0, -1)","(1, 2)","(0, -1)",onion,"(6, 2)","(0, 1)",,,"(3, 0):empty;(4, 0):empty",0.0,0.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(1, 1)",onion,"(6, 1)",,,"(3, 0):empty;(4, 0):empty"
6,2,"(1, 0)","(1, 1)","(0, -1)",onion,"(6, 1)","(0, -1)",,,"(3, 0):empty;(4, 0):empty",0.0,0.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(2, 1)",onion,"(6, 1)",,,"(3, 0):empty;(4, 0):empty"
7,2,"(1, 0)","(2, 1)","(1, 0)",onion,"(6, 1)","(0, -1)",,,"(3, 0):empty;(4, 0):empty",0.0,0.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(3, 1)",onion,"(6, 1)",,,"(3, 0):empty;(4, 0):empty"
8,0,"(0, -1)","(3, 1)","(1, 0)",onion,"(6, 1)","(0, -1)",,,"(3, 0):empty;(4, 0):empty",0.0,0.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(3, 1)",onion,"(6, 1)",,,"(3, 0):empty;(4, 0):empty"
9,5,interact,"(3, 1)","(0, -1)",onion,"(6, 1)","(0, -1)",,,"(3, 0):empty;(4, 0):empty",0.0,0.0,5,interact,3.0,0.0,3.0,0.0,0.0,3.0,False,"(3, 1)",,"(6, 1)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty"
10,3,"(-1, 0)","(3, 1)","(0, -1)",,"(6, 1)","(0, -1)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty",0.0,3.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,3.0,False,"(2, 1)",,"(6, 1)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty"
11,3,"(-1, 0)","(2, 1)","(-1, 0)",,"(6, 1)","(0, -1)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty",0.0,3.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,3.0,False,"(1, 1)",,"(6, 1)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty"
12,3,"(-1, 0)","(1, 1)","(-1, 0)",,"(6, 1)","(1, 0)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty",0.0,3.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,3.0,False,"(1, 1)",,"(6, 1)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty"
13,1,"(0, 1)","(1, 1)","(-1, 0)",,"(6, 1)","(0, -1)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty",0.0,3.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,3.0,False,"(1, 2)",,"(6, 1)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty"
14,2,"(1, 0)","(1, 2)","(0, 1)",,"(6, 1)","(1, 0)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty",0.0,3.0,5,interact,0.0,0.0,0.0,0.0,0.0,3.0,False,"(1, 2)",,"(6, 1)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty"
15,2,"(1, 0)","(1, 2)","(1, 0)",,"(6, 1)","(1, 0)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty",0.0,3.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,3.0,False,"(1, 2)",,"(6, 1)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty"
16,3,"(-1, 0)","(1, 2)","(1, 0)",,"(6, 1)","(0, -1)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty",0.0,3.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,3.0,False,"(1, 2)",,"(6, 1)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty"
17,5,interact,"(1, 2)","(-1, 0)",,"(6, 1)","(0, -1)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty",0.0,3.0,2,"(1, 0)",3.0,0.0,3.0,0.0,0.0,6.0,False,"(1, 2)",dish,"(6, 1)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty"
18,1,"(0, 1)","(1, 2)","(-1, 0)",dish,"(6, 1)","(1, 0)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty",0.0,6.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,6.0,False,"(1, 3)",dish,"(6, 1)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty"
19,5,interact,"(1, 3)","(0, 1)",dish,"(6, 1)","(0, -1)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty",0.0,6.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,6.0,False,"(1, 3)",,"(5, 1)",,"(1, 4):dish;(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty"
20,2,"(1, 0)","(1, 3)","(0, 1)",,"(5, 1)","(-1, 0)",,"(1, 4):dish;(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty",0.0,6.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,6.0,False,"(2, 3)",,"(6, 1)",,"(1, 4):dish;(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 0):empty"
