episode,return
0,400.0
1,400.0
2,400.0
3,400.0
4,400.0
5,400.0
6,400.0
7,400.0
8,400.0
9,400.0
10,400.0
11,400.0
12,400.0
13,400.0
14,400.0
15,400.0
16,400.0
17,400.0
18,400.0
19,400.0
20,400.0
21,400.0
22,400.0
23,400.0
24,400.0
25,400.0
26,400.0
27,400.0
28,400.0
29,400.0
30,400.0
31,400.0
32,400.0
33,400.0
34,400.0
35,400.0
36,400.0
37,400.0
38,400.0
39,400.0
40,400.0
41,400.0
42,400.0
43,400.0
44,400.0
45,400.0
46,400.0
47,400.0
48,400.0
49,400.0
50,400.0
51,400.0
52,400.0
53,400.0
54,400.0
55,400.0
56,400.0
57,400.0
58,400.0
59,400.0
60,400.0
61,400.0
62,400.0
63,400.0
64,400.0
65,400.0
66,400.0
67,400.0
68,400.0
69,400.0
70,400.0
71,400.0
72,400.0
73,400.0
74,400.0
75,400.0
76,400.0
77,400.0
78,400.0
79,400.0
80,400.0
81,400.0
82,400.0
83,400.0
84,400.0
85,400.0
86,400.0
87,400.0
88,400.0
89,400.0
90,400.0
91,400.0
92,400.0
93,400.0
94,400.0
95,400.0
96,400.0
97,400.0
98,400.0
99,400.0
