episode,return
0,386.0
1,386.0
2,386.0
3,386.0
4,386.0
5,386.0
6,386.0
7,386.0
8,386.0
9,386.0
10,386.0
11,386.0
12,386.0
13,386.0
14,386.0
15,386.0
16,386.0
17,386.0
18,386.0
19,386.0
20,386.0
21,386.0
22,386.0
23,386.0
24,386.0
25,386.0
26,386.0
27,386.0
28,386.0
29,386.0
30,386.0
31,386.0
32,386.0
33,386.0
34,386.0
35,386.0
36,386.0
37,386.0
38,386.0
39,386.0
40,386.0
41,386.0
42,386.0
43,386.0
44,386.0
45,386.0
46,386.0
47,386.0
48,386.0
49,386.0
50,386.0
51,386.0
52,386.0
53,386.0
54,386.0
55,386.0
56,386.0
57,386.0
58,386.0
59,386.0
60,386.0
61,386.0
62,386.0
63,386.0
64,386.0
65,386.0
66,386.0
67,386.0
68,386.0
69,386.0
70,386.0
71,386.0
72,386.0
73,386.0
74,386.0
75,386.0
76,386.0
77,386.0
78,386.0
79,386.0
80,386.0
81,386.0
82,386.0
83,386.0
84,386.0
85,386.0
86,386.0
87,386.0
88,386.0
89,386.0
90,386.0
91,386.0
92,386.0
93,386.0
94,386.0
95,386.0
96,386.0
97,386.0
98,386.0
99,386.0
