episode,return
0,769.0
1,769.0
2,769.0
3,769.0
4,769.0
5,769.0
6,769.0
7,769.0
8,769.0
9,769.0
10,769.0
11,769.0
12,769.0
13,769.0
14,769.0
15,769.0
16,769.0
17,769.0
18,769.0
19,769.0
20,769.0
21,769.0
22,769.0
23,769.0
24,769.0
25,769.0
26,769.0
27,769.0
28,769.0
29,769.0
30,769.0
31,769.0
32,769.0
33,769.0
34,769.0
35,769.0
36,769.0
37,769.0
38,769.0
39,769.0
40,769.0
41,769.0
42,769.0
43,769.0
44,769.0
45,769.0
46,769.0
47,769.0
48,769.0
49,769.0
50,769.0
51,769.0
52,769.0
53,769.0
54,769.0
55,769.0
56,769.0
57,769.0
58,769.0
59,769.0
60,769.0
61,769.0
62,769.0
63,769.0
64,769.0
65,769.0
66,769.0
67,769.0
68,769.0
69,769.0
70,769.0
71,769.0
72,769.0
73,769.0
74,769.0
75,769.0
76,769.0
77,769.0
78,769.0
79,769.0
80,769.0
81,769.0
82,769.0
83,769.0
84,769.0
85,769.0
86,769.0
87,769.0
88,769.0
89,769.0
90,769.0
91,769.0
92,769.0
93,769.0
94,769.0
95,769.0
96,769.0
97,769.0
98,769.0
99,769.0
