episode,return
0,419.0
1,419.0
2,419.0
3,419.0
4,419.0
5,419.0
6,419.0
7,419.0
8,419.0
9,419.0
10,419.0
11,419.0
12,419.0
13,419.0
14,419.0
15,419.0
16,419.0
17,419.0
18,419.0
19,419.0
20,419.0
21,419.0
22,419.0
23,419.0
24,419.0
25,419.0
26,419.0
27,419.0
28,419.0
29,419.0
30,419.0
31,419.0
32,419.0
33,419.0
34,419.0
35,419.0
36,419.0
37,419.0
38,419.0
39,419.0
40,419.0
41,419.0
42,419.0
43,419.0
44,419.0
45,419.0
46,419.0
47,419.0
48,419.0
49,419.0
50,419.0
51,419.0
52,419.0
53,419.0
54,419.0
55,419.0
56,419.0
57,419.0
58,419.0
59,419.0
60,419.0
61,419.0
62,419.0
63,419.0
64,419.0
65,419.0
66,419.0
67,419.0
68,419.0
69,419.0
70,419.0
71,419.0
72,419.0
73,419.0
74,419.0
75,419.0
76,419.0
77,419.0
78,419.0
79,419.0
80,419.0
81,419.0
82,419.0
83,419.0
84,419.0
85,419.0
86,419.0
87,419.0
88,419.0
89,419.0
90,419.0
91,419.0
92,419.0
93,419.0
94,419.0
95,419.0
96,419.0
97,419.0
98,419.0
99,419.0
