step,ego_action,partner_action,sparse_delta,built_in,custom,total
1,"(0, 1)",interact,0.0,0.0,0.0,0.0
2,interact,"(0, 1)",0.0,0.0,0.0,0.0
3,"(1, 0)",interact,0.0,0.0,0.0,0.0
4,"(1, 0)","(1, 0)",0.0,0.0,0.0,0.0
5,"(1, 0)","(0, 0)",0.0,0.0,0.0,0.0
6,"(0, -1)","(0, 1)",0.0,0.0,0.0,0.0
7,"(0, -1)","(0, 1)",0.0,0.0,0.0,0.0
8,"(-1, 0)","(-1, 0)",0.0,0.0,0.0,0.0
9,"(-1, 0)","(-1, 0)",0.0,0.0,0.0,0.0
10,"(-1, 0)","(-1, 0)",0.0,0.0,0.0,0.0
11,"(0, -1)","(0, 0)",0.0,0.0,0.0,0.0
12,interact,"(0, 0)",0.0,3.0,1.4849999999999999,4.484999999999999
13,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
14,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
15,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
16,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
17,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
18,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
19,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
20,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
21,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
22,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
23,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
24,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
25,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
26,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
27,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
28,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
29,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
30,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
31,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
32,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
33,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
34,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
35,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
36,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
37,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
38,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
39,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
40,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
41,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
42,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
43,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
44,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
45,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
46,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
47,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
48,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
49,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
50,"(0, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
51,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,-0.015000000000000013
