step,ego_action,partner_action,sparse_reward,built_in_shaped_reward,custom_base_component,custom_v2_extra_component,custom_useless_interact_component,custom_shaped_reward,total_reward,active_custom_shaping_version,late_stage,no_interaction_change,useless_counts_before,useless_counts_after
1,"(-1, 0)","(0, -1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"[0, 0]","[0, 0]"
2,interact,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"[0, 0]","[0, 0]"
3,interact,interact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"[0, 0]","[0, 0]"
4,interact,"(1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"[0, 0]","[0, 0]"
5,interact,interact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"[0, 0]","[0, 0]"
6,interact,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"[0, 0]","[0, 0]"
7,"(1, 0)",interact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"[0, 0]","[0, 0]"
8,interact,"(1, 0)",0.0,3.0,1.4849999999999999,0.0,0.0,1.4849999999999999,4.484999999999999,1,False,False,"[0, 0]","[0, 0]"
9,"(-1, 0)",interact,0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,1,False,False,"[0, 0]","[0, 0]"
10,interact,"(-1, 0)",0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,1,False,False,"[0, 0]","[0, 0]"
11,"(1, 0)",interact,0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,1,False,False,"[0, 0]","[0, 0]"
12,interact,"(1, 0)",0.0,3.0,1.47,0.0,0.0,1.47,4.47,1,False,False,"[0, 0]","[0, 0]"
13,"(-1, 0)",interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,1,False,False,"[0, 0]","[0, 0]"
14,interact,"(-1, 0)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,1,False,False,"[0, 0]","[0, 0]"
15,"(1, 0)",interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,1,False,False,"[0, 0]","[0, 0]"
16,interact,"(1, 0)",0.0,3.0,1.9500000000000002,0.0,0.0,1.9500000000000002,4.95,1,False,False,"[0, 0]","[0, 0]"
17,"(-1, 0)",interact,0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,1,False,False,"[0, 0]","[0, 0]"
18,interact,"(-1, 0)",0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,1,False,False,"[0, 0]","[0, 0]"
19,"(0, -1)",interact,0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,1,False,False,"[0, 0]","[0, 0]"
20,interact,"(1, 0)",0.0,3.0,1.4349999999999996,0.0,0.0,1.4349999999999996,4.435,1,False,False,"[0, 0]","[0, 0]"
21,"(-1, 0)",interact,0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,1,False,False,"[0, 0]","[0, 0]"
22,interact,"(-1, 0)",0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,1,False,False,"[0, 0]","[0, 0]"
23,"(0, -1)","(0, 1)",0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,1,False,False,"[0, 0]","[0, 0]"
24,interact,"(0, 1)",0.0,3.0,1.4200000000000002,0.0,0.0,1.4200000000000002,4.42,1,False,False,"[0, 0]","[0, 0]"
25,"(-1, 0)","(-1, 0)",0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,1,False,False,"[0, 0]","[0, 0]"
26,"(0, -1)",interact,0.0,3.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,2.92,1,False,False,"[0, 0]","[0, 0]"
27,"(0, 1)","(0, -1)",0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,1,False,False,"[0, 0]","[0, 0]"
28,"(0, -1)","(0, -1)",0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,1,False,False,"[0, 0]","[0, 0]"
29,"(-1, 0)","(1, 0)",0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,1,False,False,"[0, 0]","[0, 0]"
30,"(0, 0)",interact,0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,1,False,False,"[0, 0]","[0, 0]"
31,interact,"(-1, 0)",0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,1,False,False,"[0, 0]","[0, 0]"
32,"(1, 0)",interact,0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,1,False,False,"[0, 0]","[0, 0]"
33,"(-1, 0)","(1, 0)",0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,1,False,False,"[0, 0]","[0, 0]"
34,"(1, 0)",interact,0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,1,False,False,"[0, 0]","[0, 0]"
35,interact,interact,0.0,0.0,2.246499999999998,0.0,0.0,2.246499999999998,2.246499999999998,1,False,False,"[0, 0]","[0, 0]"
36,interact,"(1, 0)",0.0,5.0,1.7775000000000007,0.0,0.0,1.7775000000000007,6.777500000000001,1,False,False,"[0, 0]","[0, 0]"
37,"(0, 1)","(1, 0)",0.0,0.0,0.12499999999999956,0.0,0.0,0.12499999999999956,0.12499999999999956,1,False,False,"[0, 0]","[0, 0]"
38,"(0, 1)","(1, 0)",0.0,0.0,0.12250000000000094,0.0,0.0,0.12250000000000094,0.12250000000000094,1,False,False,"[0, 0]","[0, 0]"
39,interact,"(1, 0)",20.0,0.0,-9.780000000000001,0.0,0.0,-9.780000000000001,10.219999999999999,1,False,False,"[0, 0]","[0, 0]"
40,"(0, -1)","(1, 0)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,1,False,False,"[0, 0]","[0, 0]"
41,"(0, -1)",interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,1,False,False,"[0, 0]","[0, 0]"
42,"(-1, 0)",interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,1,False,False,"[0, 0]","[0, 0]"
43,interact,interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,1,False,False,"[0, 0]","[0, 0]"
44,interact,"(-1, 0)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,1,False,False,"[0, 0]","[0, 0]"
45,"(1, 0)",interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,1,False,False,"[0, 0]","[0, 0]"
46,interact,"(1, 0)",0.0,3.0,1.4549999999999996,0.0,0.0,1.4549999999999996,4.455,1,False,False,"[0, 0]","[0, 0]"
47,"(-1, 0)",interact,0.0,0.0,-0.04500000000000004,0.0,0.0,-0.04500000000000004,-0.04500000000000004,1,False,False,"[0, 0]","[0, 0]"
48,interact,"(-1, 0)",0.0,0.0,-0.04500000000000004,0.0,0.0,-0.04500000000000004,-0.04500000000000004,1,False,False,"[0, 0]","[0, 0]"
49,"(1, 0)",interact,0.0,0.0,-0.04500000000000004,0.0,0.0,-0.04500000000000004,-0.04500000000000004,1,False,False,"[0, 0]","[0, 0]"
50,interact,"(1, 0)",0.0,3.0,1.4400000000000002,0.0,0.0,1.4400000000000002,4.44,1,False,False,"[0, 0]","[0, 0]"
51,"(-1, 0)",interact,0.0,0.0,-0.06000000000000005,0.0,0.0,-0.06000000000000005,-0.06000000000000005,1,False,False,"[0, 0]","[0, 0]"
52,interact,"(-1, 0)",0.0,0.0,-0.06000000000000005,0.0,0.0,-0.06000000000000005,-0.06000000000000005,1,False,False,"[0, 0]","[0, 0]"
53,"(1, 0)",interact,0.0,0.0,-0.06000000000000005,0.0,0.0,-0.06000000000000005,-0.06000000000000005,1,False,False,"[0, 0]","[0, 0]"
54,interact,"(1, 0)",0.0,3.0,1.9200000000000006,0.0,0.0,1.9200000000000006,4.920000000000001,1,False,False,"[0, 0]","[0, 0]"
55,"(-1, 0)",interact,0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,1,False,False,"[0, 0]","[0, 0]"
56,interact,"(-1, 0)",0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,1,False,False,"[0, 0]","[0, 0]"
57,"(0, -1)","(0, 1)",0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,1,False,False,"[0, 0]","[0, 0]"
58,interact,"(0, 1)",0.0,3.0,1.8999999999999995,0.0,0.0,1.8999999999999995,4.8999999999999995,1,False,False,"[0, 0]","[0, 0]"
59,"(-1, 0)","(-1, 0)",0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,1,False,False,"[0, 0]","[0, 0]"
60,interact,interact,0.0,3.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,2.9,1,False,False,"[0, 0]","[0, 0]"
61,"(-1, 0)","(0, -1)",0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,1,False,False,"[0, 0]","[0, 0]"
62,"(0, 0)","(0, -1)",0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,1,False,False,"[0, 0]","[0, 0]"
63,"(0, 0)","(1, 0)",0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,1,False,False,"[0, 0]","[0, 0]"
64,interact,interact,0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,1,False,False,"[0, 0]","[0, 0]"
65,interact,"(-1, 0)",0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,1,False,False,"[0, 0]","[0, 0]"
66,"(1, 0)",interact,0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,1,False,False,"[0, 0]","[0, 0]"
67,"(-1, 0)","(1, 0)",0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,1,False,False,"[0, 0]","[0, 0]"
