episode,return
0,379.0
1,379.0
2,379.0
3,379.0
4,379.0
5,379.0
6,379.0
7,379.0
8,379.0
9,379.0
10,379.0
11,379.0
12,379.0
13,379.0
14,379.0
15,379.0
16,379.0
17,379.0
18,379.0
19,379.0
20,379.0
21,379.0
22,379.0
23,379.0
24,379.0
25,379.0
26,379.0
27,379.0
28,379.0
29,379.0
30,379.0
31,379.0
32,379.0
33,379.0
34,379.0
35,379.0
36,379.0
37,379.0
38,379.0
39,379.0
40,379.0
41,379.0
42,379.0
43,379.0
44,379.0
45,379.0
46,379.0
47,379.0
48,379.0
49,379.0
50,379.0
51,379.0
52,379.0
53,379.0
54,379.0
55,379.0
56,379.0
57,379.0
58,379.0
59,379.0
60,379.0
61,379.0
62,379.0
63,379.0
64,379.0
65,379.0
66,379.0
67,379.0
68,379.0
69,379.0
70,379.0
71,379.0
72,379.0
73,379.0
74,379.0
75,379.0
76,379.0
77,379.0
78,379.0
79,379.0
80,379.0
81,379.0
82,379.0
83,379.0
84,379.0
85,379.0
86,379.0
87,379.0
88,379.0
89,379.0
90,379.0
91,379.0
92,379.0
93,379.0
94,379.0
95,379.0
96,379.0
97,379.0
98,379.0
99,379.0
