step,ego_action_idx,ego_action,p0_pos,p0_orient,p0_held,p1_pos,p1_orient,p1_held,objects_before,pots_before,cum_sparse_before,cum_shaped_before,partner_action_idx,partner_action,reward,sparse_reward,built_in_shaped_reward,custom_shaped_reward,cum_sparse_after,cum_shaped_after,delivery_event,p0_pos_after,p0_held_after,p1_pos_after,p1_held_after,objects_after,pots_after
0,2,"(1, 0)","(2, 1)","(0, -1)",,"(1, 2)","(0, -1)",,,"(3, 0):empty;(4, 1):empty",0.0,0.0,1,"(0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(3, 1)",,"(1, 3)",,,"(3, 0):empty;(4, 1):empty"
1,1,"(0, 1)","(3, 1)","(1, 0)",,"(1, 3)","(0, 1)",,,"(3, 0):empty;(4, 1):empty",0.0,0.0,5,interact,0.0,0.0,0.0,0.0,0.0,0.0,False,"(3, 2)",,"(1, 3)",onion,,"(3, 0):empty;(4, 1):empty"
2,1,"(0, 1)","(3, 2)","(0, 1)",,"(1, 3)","(0, 1)",onion,,"(3, 0):empty;(4, 1):empty",0.0,0.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(3, 3)",,"(1, 2)",onion,,"(3, 0):empty;(4, 1):empty"
3,3,"(-1, 0)","(3, 3)","(0, 1)",,"(1, 2)","(0, -1)",onion,,"(3, 0):empty;(4, 1):empty",0.0,0.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(2, 3)",,"(1, 2)",onion,,"(3, 0):empty;(4, 1):empty"
4,3,"(-1, 0)","(2, 3)","(-1, 0)",,"(1, 2)","(-1, 0)",onion,,"(3, 0):empty;(4, 1):empty",0.0,0.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(1, 3)",,"(1, 1)",onion,,"(3, 0):empty;(4, 1):empty"
5,5,interact,"(1, 3)","(-1, 0)",,"(1, 1)","(0, -1)",onion,,"(3, 0):empty;(4, 1):empty",0.0,0.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(1, 3)",onion,"(2, 1)",onion,,"(3, 0):empty;(4, 1):empty"
6,2,"(1, 0)","(1, 3)","(-1, 0)",onion,"(2, 1)","(1, 0)",onion,,"(3, 0):empty;(4, 1):empty",0.0,0.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,False,"(2, 3)",onion,"(3, 1)",onion,,"(3, 0):empty;(4, 1):empty"
7,2,"(1, 0)","(2, 3)","(1, 0)",onion,"(3, 1)","(1, 0)",onion,,"(3, 0):empty;(4, 1):empty",0.0,0.0,5,interact,3.0,0.0,3.0,0.0,0.0,3.0,False,"(3, 3)",onion,"(3, 1)",,"(4, 1):soup('onion', 1, 0)","(3, 0):empty;(4, 1):soup('onion', 1, 0)"
8,0,"(0, -1)","(3, 3)","(1, 0)",onion,"(3, 1)","(1, 0)",,"(4, 1):soup('onion', 1, 0)","(3, 0):empty;(4, 1):soup('onion', 1, 0)",0.0,3.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,3.0,False,"(3, 2)",onion,"(2, 1)",,"(4, 1):soup('onion', 1, 0)","(3, 0):empty;(4, 1):soup('onion', 1, 0)"
9,0,"(0, -1)","(3, 2)","(0, -1)",onion,"(2, 1)","(-1, 0)",,"(4, 1):soup('onion', 1, 0)","(3, 0):empty;(4, 1):soup('onion', 1, 0)",0.0,3.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,3.0,False,"(3, 1)",onion,"(1, 1)",,"(4, 1):soup('onion', 1, 0)","(3, 0):empty;(4, 1):soup('onion', 1, 0)"
10,2,"(1, 0)","(3, 1)","(0, -1)",onion,"(1, 1)","(-1, 0)",,"(4, 1):soup('onion', 1, 0)","(3, 0):empty;(4, 1):soup('onion', 1, 0)",0.0,3.0,1,"(0, 1)",0.0,0.0,0.0,0.0,0.0,3.0,False,"(3, 1)",onion,"(1, 2)",,"(4, 1):soup('onion', 1, 0)","(3, 0):empty;(4, 1):soup('onion', 1, 0)"
11,5,interact,"(3, 1)","(1, 0)",onion,"(1, 2)","(0, 1)",,"(4, 1):soup('onion', 1, 0)","(3, 0):empty;(4, 1):soup('onion', 1, 0)",0.0,3.0,3,"(-1, 0)",3.0,0.0,3.0,0.0,0.0,6.0,False,"(3, 1)",,"(1, 2)",,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)"
12,1,"(0, 1)","(3, 1)","(1, 0)",,"(1, 2)","(-1, 0)",,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)",0.0,6.0,1,"(0, 1)",0.0,0.0,0.0,0.0,0.0,6.0,False,"(3, 2)",,"(1, 3)",,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)"
13,5,interact,"(3, 2)","(0, 1)",,"(1, 3)","(0, 1)",,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)",0.0,6.0,5,interact,0.0,0.0,0.0,0.0,0.0,6.0,False,"(3, 2)",,"(1, 3)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)"
