episode,return
0,423.0
1,423.0
2,423.0
3,423.0
4,423.0
5,423.0
6,423.0
7,423.0
8,423.0
9,423.0
10,423.0
11,423.0
12,423.0
13,423.0
14,423.0
15,423.0
16,423.0
17,423.0
18,423.0
19,423.0
20,423.0
21,423.0
22,423.0
23,423.0
24,423.0
25,423.0
26,423.0
27,423.0
28,423.0
29,423.0
30,423.0
31,423.0
32,423.0
33,423.0
34,423.0
35,423.0
36,423.0
37,423.0
38,423.0
39,423.0
40,423.0
41,423.0
42,423.0
43,423.0
44,423.0
45,423.0
46,423.0
47,423.0
48,423.0
49,423.0
50,423.0
51,423.0
52,423.0
53,423.0
54,423.0
55,423.0
56,423.0
57,423.0
58,423.0
59,423.0
60,423.0
61,423.0
62,423.0
63,423.0
64,423.0
65,423.0
66,423.0
67,423.0
68,423.0
69,423.0
70,423.0
71,423.0
72,423.0
73,423.0
74,423.0
75,423.0
76,423.0
77,423.0
78,423.0
79,423.0
80,423.0
81,423.0
82,423.0
83,423.0
84,423.0
85,423.0
86,423.0
87,423.0
88,423.0
89,423.0
90,423.0
91,423.0
92,423.0
93,423.0
94,423.0
95,423.0
96,423.0
97,423.0
98,423.0
99,423.0
